MagneticField (Oe)	M(emu/g)
99.5195159912109	0.0070214791548797
184.458274841309	0.0637832162904689
307.398956298828	0.245134811805985
840.786346435547	1.83503770982866
990.439727783203	2.07538480121717
1054.94644165039	2.31559618371328
1177.55975341797	2.79002540690442
1294.71350097656	3.02249634770079
1413.28375244141	3.25539314988468
1542.3359375	3.4934644048747
1661.97436523438	3.72968087813951
1771.77545166016	4.19732205682402
2214.11901855469	5.12444540692157
2278.65368652344	5.35550973038629
2396.42321777344	5.57895434048238
2590.87475585938	5.79569333146444
2659.73889160156	6.23225404043521
2783.86145019531	6.45637993396136
2893.6259765625	6.67894235341517
3103.76184082031	7.1151215615736
3178.80895996094	7.33549122592825
3400.17834472656	7.55531613819665
3470.00817871094	7.98355355364049
3580.6015625	8.19721947874549
3780.77795410156	8.40185963448381
3946.06921386719	8.82190806394066
4095.68786621094	9.22769676446766
4261.31005859375	9.42693847968115
4331.19677734375	9.63007881752545
4461.37109375	10.022719125832
4576.45825195313	10.2139508890966
4691.30444335937	10.4079776140153
4821.25610351562	10.6021169852081
4951.2548828125	10.977206313577
5071.21240234375	11.1610200517366
5191.169921875	11.3429654243009
5391.11401367188	11.5287373382909
5541.29223632812	11.8911412759651
5611.2177734375	12.070636119643
5736.28247070313	12.4176934576686
5866.36108398438	12.5852603476788
6081.4453125	12.7563361553186
6151.3427734375	13.0948245000092
6281.30004882813	13.2559132197839
6411.42504882813	13.4138891090897
6536.533203125	13.5798864702121
6661.5986328125	13.8953216795266
6781.38916015625	14.0550773614726
6981.39526367187	14.2038064872691
7051.6611328125	14.5041171452671
7266.1826171875	14.6549930243848
7416.30590820312	14.9394247290718
7581.05444335938	15.0863898654943
7646.20532226563	15.3681402628195
7761.47143554687	15.5058192677402
7881.39233398438	15.644664033232
8111.38696289063	15.9104030656678
8266.30908203125	16.0437789105774
8426.236328125	16.3018021475342
8586.35498046875	16.4239420723308
8661.57421875	16.6769952217524
8776.78466796875	16.8010335164391
8891.96728515625	16.9181678272027
9022.04833984375	17.0348201814098
9232.08056640625	17.2743348090653
9296.90087890625	17.3900574827314
9421.9716796875	17.4973175292814
9552.1201171875	17.7246000474385
9682.31396484375	17.8379624520345
