Temperature (K),Magnetic Field (Oe),Moment (emu),M (emu/g)
2.00059945,99.7514266967773,0.00957250782448658,0.334703070786244
2.024657,99.7514266967773,0.00950525126991622,0.332351443004064
2.076623,99.7514266967773,0.00925626978105019,0.323645796540216
2.1598833,99.7514266967773,0.0089566161660015,0.31316839741264
2.239367,99.7514266967773,0.0087299811987,0.305244097856643
2.29614675,99.7514266967773,0.00855579428220862,0.299153646231071
2.3612232,99.7514266967773,0.00836199520325864,0.292377454659393
2.43101535,99.7514266967773,0.00816560004647589,0.285510491135521
2.4968133,99.7514266967773,0.00798198636139957,0.279090432216768
2.56390665,99.7514266967773,0.00780825850218364,0.273016031544883
2.6289686,99.7514266967773,0.00764620931701334,0.267349976119348
2.69602285,99.7514266967773,0.00748732789054084,0.261794681487442
2.76212775,99.7514266967773,0.00733301483692946,0.256399120172359
2.8309174,99.7514266967773,0.00718626297247308,0.251267936100457
2.89476515,99.7514266967773,0.0070547979253354,0.246671256130608
2.95899085,99.7514266967773,0.00691914526342902,0.241928156063952
3.0289761,99.7514266967773,0.00678263516780731,0.237155075797458
3.0946865,99.7514266967773,0.00666067813724785,0.232890843959715
3.1620102,99.7514266967773,0.00653838693635549,0.228614927844598
3.2263752,99.7514266967773,0.0064196403741916,0.224462950146559
3.29282685,99.7514266967773,0.0063088733239861,0.22058997636315
3.36051915,99.7514266967773,0.00620154416074232,0.216837208417564
3.4443768,99.7514266967773,0.0060470082242474,0.211433853994664
3.52343095,99.7514266967773,0.00594775269059525,0.207963380790044
3.59511675,99.7514266967773,0.00584825721226301,0.204484517911294
3.65835085,99.7514266967773,0.00575973320116739,0.201389272768091
3.71905075,99.7514266967773,0.00567603267285954,0.198462680869215
3.78866195,99.7514266967773,0.00558576295663326,0.195306397085079
3.86364855,99.7514266967773,0.0054894621942614,0.191939237561587
3.9218074,99.7514266967773,0.00541592828889841,0.189368121989455
3.9919243,99.7514266967773,0.00533296768288737,0.186467401499558
4.0641551,99.7514266967773,0.00525050237286406,0.183583999051191
4.12434385,99.7514266967773,0.00517872933255259,0.181074452187153
4.18903255,99.7514266967773,0.00510865353683751,0.178624249539773
4.26638965,99.7514266967773,0.00503159400271741,0.175929860234874
4.32850695,99.7514266967773,0.0049671567315432,0.173676808795217
4.3837633,99.7514266967773,0.00490004224850191,0.171330148549018
4.46983745,99.7514266967773,0.00482482993954863,0.168700347536665
4.52708005,99.7514266967773,0.00477399228802066,0.16692280727345
4.59317855,99.7514266967773,0.00471027432750307,0.164694906556051
4.65238045,99.7514266967773,0.00464830142154451,0.162528021732326
4.72517325,99.7514266967773,0.00459053769432117,0.160508310990251
4.78135205,99.7514266967773,0.00453228519259844,0.158471510230715
4.8602421,99.7514266967773,0.00447636720483267,0.15651633583331
