B_exp (T),M_exp (emu/mol)
1.1047287109375,6497.636807189867
1.117225,6605.78640071116
1.13823408203125,6660.2953777343555
1.15520625,6768.688673138703
1.16219560546875,6822.360816137284
1.1837321777343701,6929.526034500855
1.19071669921875,6982.924110261664
1.2157095703125,7089.660954887938
1.22170375976563,7142.576714294897
1.233220703125,7195.933072899511
1.2552025390625,7301.813123643154
1.2616986328125,7354.194912352185
1.2736798828125,7406.903640136303
1.285193359375,7458.908506176901
1.30521079101562,7563.7161738765335
1.3122023925781299,7615.97953028666
1.32419428710938,7667.919389640307
1.3362051269531299,7770.801282214566
1.35625766601562,7822.415766504923
1.3627373046875,7873.847873481663
1.3747304199218702,7925.301482171623
1.38622998046875,7975.809375395044
1.39822412109375,8078.1572733110725
1.4231897949218701,8178.955767874945
1.43170537109375,8229.505763566392
1.44423603515625,8280.16084858421
1.46619453125,8380.303587504653
1.4821869140625,8480.06531594808
1.49018056640625,8529.813786192934
1.50168994140625,8578.840142320663
1.51268481445313,8628.550962742467
1.5256897949218702,8678.529859632064
1.537692578125,8776.4162004037
1.55718813476562,8824.836148273227
1.56366909179687,8874.001729118576
1.58574287109375,8970.411145420345
1.60075068359375,9019.295525562848
1.60874970703125,9115.222588480166
1.62177021484375,9163.693546572991
1.6342742675781299,9211.018693299786
1.6552654296875,9306.57361570089
1.66229541015625,9354.224621420084
1.67431953125,9401.935194916327
1.6853455078125,9448.836667168129
1.69735849609375,9541.981561654342
1.71835029296875,9589.218672915365
1.72587724609375,9636.089801825317
1.73787421875,9728.517302374235
1.7589111328125,9775.291806402127
1.7749115234375,9866.85798573036
1.78941357421875,9912.906899939484
1.805433203125,10003.064209114844
1.81245029296875,10048.742613439266
1.82496435546875,10093.948375089696
1.83745888671875,10184.023027409548
1.85851533203125,10228.731026268666
1.86399814453125,10273.895147034393
1.88449794921875,10362.034093400856
1.891488671875,10406.694399121372
1.90301630859375,10450.165380088794
1.9140404296875,10494.422393793595
1.9350544921875,10581.928891001662
1.9425546875,10625.92674241564
1.9545447265625,10668.836224660243
1.9750859375,10756.461064205016
1.9815865234375,10799.132973224465
1.99659931640625,10883.514108517695
2.01210234375,10927.540241205985
2.0336029296875,11012.90839608962
2.04061640625,11054.674151021429
2.0516427734375,11096.541565515927
2.06316611328125,11138.40393581156
2.08567763671875,11221.667923876974
2.09270986328125,11264.404671410528
2.11519130859375,11345.875429931433
2.1221892578125,11387.353817657315
2.1337091796875,11427.95696096322
2.15525712890625,11509.9859747635
2.1622591796875,11549.823761093456
2.17476787109375,11590.733070751066
2.1883107421875,11671.821909439768
2.20133466796875,11710.876304257932
2.21333056640625,11751.735876751429
2.22584423828125,11791.96978192215
2.24735009765625,11870.103329854803
2.253870703125,11909.258588536575
2.26538037109375,11948.715518378898
2.2873794921875,12027.036011457993
2.2943923828125,12066.126091794107
2.30541552734375,12105.096430762134
2.31690810546875,12182.013567983726
2.3379078125,12219.632179203492
2.353454296875,12296.445487629107
2.360953125,12334.513594699003
2.37348115234375,12372.005081220974
2.3855029296875,12408.743318647312
2.40798916015625,12485.172842001495
2.4145021484375,12521.716523890562
2.42600107421875,12558.24784233701
2.43751748046875,12632.69520499518
2.450023828125,12669.29543012627
2.46255791015625,12705.502893427272
2.47408037109375,12742.244726786223
2.4850546875,12778.754420459803
2.50509130859375,12851.729508372016
2.5200916015625,12887.069871669186
2.52711044921875,12959.85291565792
2.53962353515625,12995.16184389639
2.552141015625,13030.057838519046
2.564639453125,13065.46155228048
2.5861796875,13135.941872849058
2.59321162109375,13169.916678407755
2.605228515625,13205.712022287076
2.62624267578125,13274.72114064097
2.646784375,13344.804184736578
2.6537806640625,13378.602871658793
2.67431572265625,13447.083970746573
2.6812880859375,13481.308590398645
2.69427685546875,13515.114782726616
2.70582197265625,13547.588333857362
2.7268390625,13615.377243018645
2.7338423828125,13647.990632170095
