B_exp (T),M_exp (emu/mol)
-3.4125877916812906e-05,1.5703413780152031
0.00995195159912109,5.478579325386435
0.0184458274841309,49.76749234280126
0.030739895629882802,191.26888825973785
0.0840786346435547,1431.8065234709104
0.0990439727783203,1619.3397449977092
0.105494644165039,1806.7670783041237
0.11775597534179699,2176.9452239912425
0.129471350097656,2358.3330002570183
0.141328375244141,2540.0530591290203
0.15423359375,2725.8105365475335
0.166197436523438,2910.1208019771343
0.177177545166016,3275.0025080575097
0.22141190185546897,3998.399773204624
0.22786536865234397,4178.690022231206
0.239642321777344,4353.0349137047815
0.259087475585938,4522.147678808444
0.265973889160156,4862.778537589977
0.278386145019531,5037.65500727269
0.28936259765625,5211.311560675721
0.31037618408203105,5551.644749633418
0.317880895996094,5723.590383942776
0.34001783447265604,5895.110969989318
0.347000817871094,6229.247495763529
0.35806015625,6395.962470485956
0.378077795410156,6555.634998402337
0.394606921386719,6883.381985970339
0.40956878662109397,7200.002677443536
0.426131005859375,7355.463018156014
0.433119677734375,7513.965298162407
0.446137109375,7820.326825121676
0.45764582519531294,7969.537320726513
0.46913044433593704,8120.928613111578
0.48212561035156204,8272.407798878472
0.49512548828125,8565.07499823159
0.507121240234375,8708.497505567999
0.5191169921875,8850.46220196502
0.5391114013671879,8995.412595574859
0.554129223632812,9278.18189198453
0.56112177734375,9418.234538712646
0.5736282470703129,9689.029497280502
0.5866361083984379,9819.77523887986
0.60814453125,9953.25884854889
0.61513427734375,10217.367764377177
0.628130004882813,10343.058848868584
0.641142504882813,10466.321116258328
0.6536533203125,10595.842217247693
0.66615986328125,10841.963693667425
0.678138916015625,10966.614662062611
0.698139526367187,11082.662049756587
0.70516611328125,11316.982443766108
0.72661826171875,11434.704857206483
0.741630590820312,11656.635539105562
0.758105444335938,11771.306556450583
0.764620532226563,11991.145121467544
0.7761471435546871,12098.570541846968
0.7881392333984379,12206.9055585696
0.811138696289063,12414.251096017959
0.826630908203125,12518.318932767123
0.8426236328125,12719.644143635034
0.858635498046875,12814.94504135683
0.866157421875,13012.392291724527
0.877678466796875,13109.174411536773
0.889196728515625,13200.56962885318
0.902204833984375,13291.588794746809
0.923208056640625,13478.472478121292
0.929690087890625,13568.766251476001
0.94219716796875,13652.456975397105
0.95521201171875,13829.796433014364
0.968231396484375,13918.248582824439
0.989661181640625,14004.10384119743
0.99666875,14165.064596716693
1.00869423828125,14246.750000476148
1.0201833984375,14327.75907943025
1.0406939941406201,14481.951875582266
1.04818032226562,14559.437133346502
1.06965991210938,14710.192331785986
1.0766845214843799,14782.603747613191
1.08820356445312,14856.429084370744
1.10866118164062,14930.443587708429
1.11515517578125,15072.094112078285
1.12718110351562,15142.693944518012
1.14018779296875,15212.639377497948
1.16117309570312,15344.023514200117
1.1681681640625,15410.377459859874
1.1921689453125,15544.659449403422
1.1996666503906201,15605.27959377197
1.212654296875,15668.637463506802
1.22513950195313,15792.117778565642
1.23662739257813,15853.813998462301
1.25714365234375,15914.88577855433
1.26362919921875,16031.80879592634
1.28415224609375,16088.552247430036
1.29817509765625,16144.44205447802
1.30515322265625,16260.007118851669
1.3176623046875,16316.03516894478
1.33017822265625,16366.587035074952
1.35168461914062,16471.184640448675
1.3586848144531298,16526.630262364037
1.36967333984375,16579.83231808009
1.3886974609375,16629.212853913865
1.3951665527343702,16729.73556093546
1.40717724609375,16778.86608233693
1.4181940917968798,16827.936804406865
1.4296699707031202,16877.19121726872
1.452151953125,16969.92638193607
1.46716196289062,17018.344502862234
1.4741409667968701,17110.86819808742
1.48615615234375,17153.50908156053
1.4971759765625,17200.9805227519
1.50917861328125,17248.07165015058
1.52216240234375,17287.92427179971
1.533647265625,17328.062801069358
1.55214033203125,17414.437932423592
1.56814443359375,17458.06499351869
1.57415625,17536.633729440782
1.598176171875,17579.50250628545
1.6051955566406202,17656.969899571977
1.61670654296875,17694.431279632794
1.62919711914062,17733.23047994523
1.642194140625,17773.408381082976
1.6547306640625,17848.828679536186
1.6672638671875,17886.14539815387
1.68826669921875,17922.69837020855
1.69376337890625,17959.647497313286
1.704793359375,18030.08850700333
1.7173123046875,18064.376065815668
1.73880927734375,18134.756260760827
1.7463291015625,18167.865999851307
1.7583283203125,18200.844001451504
1.77933291015625,18267.66388877848
1.78635390625,18297.763055302017
1.8063765625,18331.21327912991
1.8138859375,18391.679656736425
1.8263970703125,18426.58116295616
1.837912890625,18457.10646659585
1.85792939453125,18516.250602045373
1.8729392578125,18547.16121000886
1.8884513671875,18609.474872281753
1.90348447265625,18638.49625908946
1.91849072265625,18666.276819777464
1.92499111328125,18723.50430500983
1.937016796875,18751.59988169751
1.94955205078125,18778.898883940717
1.9705154296875,18833.158595717603
1.97750810546875,18860.317671335495
1.9905283203125,18889.59608675431
2.00305205078125,18912.78449811243
2.01506630859375,18966.963518332017
2.03608896484375,18992.53023127964
2.04309345703125,19045.747245661256
2.0555779296875,19070.219895309416
2.0786185546875,19118.282448825965
2.08612900390625,19145.257654128003
2.1071078125,19166.92935065523
2.11462294921875,19213.923665894
2.12714755859375,19241.648736951585
2.13814248046875,19262.13847723736
2.14962548828125,19286.456606987515
2.17118603515625,19330.928756114543
2.1781927734375,19355.991227625305
2.19974423828125,19400.463408465064
2.20777607421875,19421.8375914509
2.2207919921875,19443.725837386286
2.2417873046875,19488.86728492373
2.249308984375,19507.95270577163
2.26280322265625,19528.026340524346
2.2758146484375,19572.815675086666
2.28781328125,19591.38923417035
2.3003287109375,19613.811897159358
2.3133623046875,19633.40239132612
2.33435615234375,19673.53724702323
2.3403775390625,19693.912339700255
2.3603611328125,19733.783053162086
2.367405078125,19752.246563782137
2.3904060546875,19786.67045649374
2.407441015625,19806.44826921511
2.41442958984375,19848.82093076358
2.43497255859375,19864.141429019135
2.4509603515625,19901.178643281557
2.45745478515625,19918.486614715493
2.47852158203125,19958.848893789636
2.48599423828125,19975.79262650618
2.49850390625,19991.15272751712
2.5105296875,20009.15537057517
2.5315302734375,20043.61672351678
2.538543359375,20063.650638357918
2.5600591796875,20095.358746472353
2.56706005859375,20113.205945995564
2.58958828125,20147.914157897547
2.6051326171875,20162.29608595348
2.6121681640625,20177.602182533006
2.6246966796875,20214.197586797727
2.64519697265625,20230.6851119508
2.66118876953125,20262.470416404558
2.67623037109375,20277.39394869325
2.693243359375,20310.122650345533
2.7002708984375,20323.22237672532
2.71227626953125,20337.73810669234
2.72426015625,20369.40981796191
2.736770703125,20384.434714277177
2.749784765625,20396.898771783533
2.762787890625,20412.384156740332
2.7828072265625,20443.159949789988
2.7893109375,20458.244028717017
2.80033583984375,20471.250515684
2.82086435546875,20499.087085492894
2.8278541015625,20514.968115917796
2.84838408203125,20530.829130827286
2.85489423828125,20559.0792024985
2.86740078125,20570.915624987378
2.880421875,20585.310657656075
2.891934375,20599.782984307232
2.90295576171875,20614.204045679566
2.92244052734375,20640.05184352088
2.92893837890625,20651.826806600096
2.94197666015625,20666.52570533521
2.95548115234375,20693.14288970732
2.96849462890625,20706.587794626565
2.9900208984375,20732.69526421893
2.99752724609375,20745.14326056936
3.0090080078125,20759.670147569384
3.029573828125,20784.255249894206
3.03609716796875,20796.177910398463
3.04860966796875,20809.00070952221
3.060115234375,20821.12985874376
3.0796208984375,20845.31841878602
3.0946505859375,20857.62500341411
3.111649609375,20881.85670748754
3.11817802734375,20893.860429112843
3.12969677734375,20906.095451238663
3.14169287109375,20929.99571985687
3.15571982421875,20941.77103091418
3.16924140625,20951.647175611146
3.1812439453125,20963.272563888917
3.193748828125,20990.20103086174
3.206248828125,21001.89824077408
3.218759375,21011.655708904975
3.2307720703125,21023.771579505326
3.24176728515625,21035.12552309986
3.26231181640625,21057.356557959785
3.27031328125,21068.262061890582
3.2828326171875,21082.22775320946
3.304819921875,21103.46344980534
3.3128236328125,21114.375392813057
3.3248310546875,21136.128643452543
3.336858203125,21147.658136699556
3.3488662109375,21157.768601711494
3.3598833984375,21165.006972734634
3.38039453125,21189.03940183932
3.3874033203125,21200.33975476785
3.40841171875,21210.882495273298
3.423965625,21230.75260513936
3.4299537109375,21240.98892720991
3.45146015625,21261.878711414323
3.4584724609375,21273.213541941936
3.4699958984375,21281.962451375315
3.4910060546875,21304.485949844497
3.4980294921875,21312.905974847923
3.5105580078125,21323.90920424997
3.522533984375,21332.285675298437
3.534544140625,21352.92071991586
3.5540595703125,21362.973044660448
3.5605533203125,21371.596301725975
3.573577734375,21390.071956216067
3.59758828125,21402.588282157183
3.6045771484375,21419.717943103802
3.625628125,21429.85450532917
3.633134375,21438.17901759093
3.6461376953125,21458.822757324902
3.65818671875,21467.41825204005
3.66969296875,21476.712776243996
3.6906880859375,21496.604920788533
3.70672890625,21504.281965037935
3.7232203125,21523.068011134397
3.73023046875,21531.031503476606
3.7522513671875,21549.88217663562
3.758742578125,21560.588071268663
3.769745703125,21568.306048984177
3.792758203125,21585.27030061359
3.7997546875,21594.63860748705
3.8122775390625,21604.016484532418
3.8243142578125,21621.715705479503
3.8363123046875,21630.640127451043
3.8493279296875,21638.07725437544
