Magnetic Field (Oe),Temperature (K),Moment (emu),M (emu/g)
-0.341258779168129,3.007444,5.75599971948283E-5,0.00201258731450449
99.5195159912109,3.005208,2.00814303829561E-4,0.00702147915487976
184.458274841309,3.0045571,0.00182419998590741,0.0637832162904689
307.398956298828,3.0137751,0.00701085561765116,0.245134811805985
840.786346435547,3.0038233,0.0524820785010996,1.83503770982866
990.439727783203,3.00705455,0.059356005314811,2.07538480121717
1054.94644165039,3.00680245,0.0662260508541998,2.31559618371328
1177.55975341797,3.00545575,0.0797947266374665,2.79002540690442
1294.71350097656,3.0042262,0.0864433955442427,3.02249634770079
1413.28375244141,3.0058117,0.0931042440867018,3.25539314988468
1542.3359375,3.0061896,0.0999130819794164,3.4934644048747
1661.97436523438,3.0058367,0.10666887311479,3.72968087813951
1771.77545166016,3.0064889,0.120043410825167,4.19732205682402
2214.11901855469,3.0053771,0.146559138637957,5.12444540692157
2278.65368652344,3.00406885,0.153167578289048,5.35550973038629
2396.42321777344,3.00261625,0.159558094137796,5.57895434048238
2590.87475585938,3.0042839,0.165756829279883,5.79569333146444
2659.73889160156,3.0053085,0.178242465556447,6.23225404043521
2783.86145019531,3.0051627,0.184652466111295,6.45637993396136
2893.6259765625,3.00386895,0.191017751307674,6.67894235341517
3103.76184082031,3.0046823,0.203492476661005,7.1151215615736
3178.80895996094,3.00441315,0.209795049061548,7.33549122592825
3400.17834472656,3.0047209,0.216082041552424,7.55531613819665
3470.00817871094,3.00457295,0.228329631634118,7.98355355364049
3580.6015625,3.00305805,0.234440477092121,8.19721947874549
3780.77795410156,3.0047817,0.240293185546237,8.40185963448381
3946.06921386719,3.0032279,0.252306570628703,8.82190806394066
4095.68786621094,3.0045638,0.263912127463775,9.22769676446766
4261.31005859375,3.0032182,0.269610440518881,9.42693847968115
4331.19677734375,3.00311425,0.275420254181228,9.63007881752545
4461.37109375,3.00394965,0.286649766998796,10.022719125832
4576.45825195313,3.0050273,0.292118995428162,10.2139508890966
4691.30444335937,3.0048573,0.297668159760839,10.4079776140153
4821.25610351562,3.0042158,0.303220545776952,10.6021169852081
4951.2548828125,3.0040123,0.313948100568301,10.977206313577
5071.21240234375,3.00415325,0.319205173479667,11.1610200517366
5191.169921875,3.00453925,0.324408811135005,11.3429654243009
5391.11401367188,3.0026901,0.32972188787512,11.5287373382909
5541.29223632812,3.0030766,0.340086640492602,11.8911412759651
5611.2177734375,3.00244595,0.345220193021789,12.070636119643
5736.28247070313,3.0028486,0.355146032889323,12.4176934576686
5866.36108398438,3.00383675,0.359938445943613,12.5852603476788
6081.4453125,3.0035751,0.364831214042112,12.7563361553186
6151.3427734375,3.0021963,0.374511980700262,13.0948245000092
6281.30004882813,3.00199985,0.37911911808582,13.2559132197839
6411.42504882813,3.002844,0.383637228519966,13.4138891090897
6536.533203125,3.0026729,0.388384753048066,13.5798864702121
6661.5986328125,3.00285885,0.397406200034462,13.8953216795266
6781.38916015625,3.00185205,0.401975212538117,14.0550773614726
6981.39526367187,3.0034993,0.406228865535895,14.2038064872691
7051.6611328125,3.0031338,0.41481775035464,14.5041171452671
7266.1826171875,3.0018218,0.419132800497404,14.6549930243848
