B_sim (T),M_sim (emu/mol)
-9.00003125,-23028.668443624283
-8.632675685586735,-22784.756266343164
-8.265320121173469,-22524.979901747407
-7.897964556760204,-22247.297404488836
-7.53060899234694,-21949.297318248835
-7.1632534279336735,-21628.12082645893
-6.795897863520408,-21280.365741749298
-6.428542299107143,-20901.972664289053
-6.0611867346938775,-20488.088696851777
-5.693831170280612,-20032.909271119483
-5.326475605867347,-19529.498631899467
-4.9591200414540815,-18969.59622443011
-4.591764477040816,-18343.422089804993
-4.224408912627551,-17639.510145799602
-3.8570533482142855,-16844.616770618704
-3.4896977838010206,-15943.782775439908
-3.1223422193877552,-14920.66498305708
-2.7549866549744895,-13758.294408140451
-2.387631090561225,-12440.44726887026
-2.020275526147959,-10953.795018447554
-1.6529199617346937,-9290.876329054747
-1.285564397321429,-7453.65214171115
-0.9182088329081627,-5456.95600858312
-0.5508532684948979,-3330.679392320934
-0.18349770408163313,-1119.3617528266336
0.18385786033163312,1121.6053192822724
0.551213424744898,3332.841577769214
0.9185689891581628,5459.00131337669
1.285924553571429,7455.549157397025
1.6532801179846939,9292.605254479928
2.0206356823979585,10955.348908118058
2.3879912468112248,12441.829872913097
2.7553468112244897,13759.51664903986
3.1227023756377545,14921.741945487593
3.4900579400510208,15944.731019620755
3.8574135044642857,16845.45286797558
4.22476906887755,17640.24960675207
4.592124633290816,18344.078768636045
4.9594801977040825,18970.182227471134
5.326835762117346,19530.024369907467
5.694191326530612,20033.383556570654
6.0615468909438786,20488.518984591945
6.428902455357142,20902.365199772732
6.796258019770408,21280.725734348845
7.1636135841836746,21628.452665162225
7.530969148596938,21949.60473175703
7.898324713010204,22247.583287007194
8.26568027742347,22525.247017259895
8.633035841836733,22785.00664469954
9.00039140625,23028.904027555724
