MagneticField(Oe) Temperature(K) Moment(emu) M(emu/g) 
0,3931894749403 10,0049686 1,35316020412594E-5 4,73132938505573E-4 2,54330307328759
92,1553573608398 10,0036364 1,76307351382216E-5 6,16459270567189E-4 0,0108512410850347
389,440795898438 10,0062609 0,0058312640070267 0,203890349896038 0,00256778439889176
453,150344848633 10,0066748 0,00851003155091318 0,29755355073123 0,00220677311927023
568,276718139648 10,00712395 0,0110302066494767 0,385671561170514 0,00175970608698113
985,467041015625 10,004777 0,0202667129530831 0,708626327030878 0,00101474728060859
1060,04772949219 10,0044394 0,0225269385718276 0,787655194819147 9,43353749249616E-4
1276,150390625 10,0036116 0,0269904024333433 0,943720364802213 7,83606702898274E-4
1340,39312744141 10,0041261 0,0292132593974688 1,02144263627513 7,4604978161059E-4
1468,79870605469 10,00412035 0,0314528334270706 1,09974942052694 6,80828486488853E-4
1597,66015625 10,0034432 0,0359525682686269 1,25708280659535 6,25915340060293E-4
1721,89935302734 10,00357815 0,0382019055807382 1,33573096436148 5,80754036664141E-4
1851,31201171875 10,00388385 0,0404527968303843 1,41443345560784 5,40157463285513E-4
2055,51525878906 10,0032473 0,0449492447651223 1,57165191486442 4,86496023672973E-4
2223,93212890625 10,003581 0,0471940736309699 1,6501424346493 4,49654010121167E-4
2382,18798828125 10,0029392 0,0516714925334154 1,80669554312641 4,19782151920555E-4
2440,44714355469 10,00302025 0,0538702361613572 1,88357469095655 4,09760974598871E-4
2553,05847167969 10,0033097 0,0560368162086201 1,95932923806364 3,91687073011723E-4
2764,59973144531 10,0026484 0,0604437042680106 2,11341623314722 3,61716015749306E-4
2834,65319824219 10,00281335 0,0626850130992701 2,19178367479965 3,52776840786067E-4
2949,75732421875 10,00285385 0,0649284411303882 2,27022521434924 3,39010938896423E-4
3074,75219726562 10,00252675 0,0694145075891869 2,4270806849366 3,2522946105683E-4
3209,82592773438 10,0025358 0,071654863668119 2,50541481357059 3,11543374162299E-4
3329,94921875 10,00256535 0,0738911126479931 2,58360533734242 3,00304879836991E-4
3540,44201660156 10,0026636 0,0783611115775485 2,73989900620799 2,82450607949764E-4
3695,78625488281 10,0025339 0,0805923278348657 2,81791356065964 2,70578418510761E-4
3770,8125 10,00232745 0,0850477137939205 2,97369628650072 2,65194835330582E-4
3985,59985351562 10,0022926 0,0872666322261128 3,05128084706688 2,50903260927692E-4
4060,88525390625 10,0019898 0,089489698263673 3,12901042879975 2,46251725295138E-4
4196,24243164063 10,00162835 0,0939240715596805 3,28405844614268 2,38308442920211E-4
4321,27221679687 10,001585 0,0961424234569497 3,36162319779544 2,31413331498298E-4
4436,40063476562 10,00138235 0,098362435532828 3,43924599765133 2,25407956207461E-4
4881,48095703125 10,0016308 0,107210066695159 3,74860373059996 2,04855864194166E-4
5041,55249023438 10,0021467 0,111610641004782 3,90246996520217 1,98351599420422E-4
5216,5693359375 10,0014925 0,113810991620345 3,97940530141066 1,91696867347453E-4
5291,56494140625 10,0015378 0,118211229290963 4,13325976541829 1,88980010842359E-4
5421,66162109375 10,0015311 0,120391064867697 4,20947779257682 1,84445299225123E-4
5546,61840820313 10,00149105 0,122586062205343 4,28622595123577 1,80290030141799E-4
5751,95141601562 10,0021434 0,126949152629244 4,43878156046308 1,7385404146767E-4
5817,03149414062 10,0017872 0,129133323419017 4,5151511684971 1,71908988460399E-4
6031,896484375 10,00143335 0,133505101506458 4,66801054218385 1,65785338423893E-4
6191,81591796875 10,0021477 0,135674175767093 4,74385229954871 1,61503509349815E-4
