MagneticField(Oe) Temperature(K) Moment(emu) M(emu/g) ChiT(emu/Oeg)
9552,1201171875 3,00289715 0,506923561356742 17,7246000474385 1,04688800782631E-4
9682,31396484375 3,0021454 0,510165726128187 17,8379624520345 1,032810961957E-4
9896,61181640625 3,0014749 0,513312703276147 17,9479966180471 1,01044682619787E-4
9966,6875 3,0020068 0,519212631002612 18,1542877972941 1,00334238431776E-4
10086,9423828125 3,002538 0,522206764429315 18,2589777772488 9,91380699967054E-5
10201,833984375 3,00190665 0,525176107543262 18,3628009630511 9,80215911699394E-5
10406,9399414062 3,0017035 0,530827959451534 18,560418162641 9,60897252823848E-5
10481,8032226562 3,0022975 0,53366813884309 18,6597251343738 9,54034319055447E-5
10696,5991210938 3,0024513 0,539193987502985 18,8529366259785 9,34876579629866E-5
10766,8452148438 3,0034652 0,541848188016477 18,945740839737 9,2877716735571E-5
10882,0356445312 3,0026908 0,54455421502192 19,0403571685986 9,18945712608976E-5
11086,6118164062 3,002303 0,547267175824034 19,1352159379033 9,01988828110838E-5
11151,5517578125 3,0025029 0,552459297676979 19,3167586600342 8,96736186781741E-5
11271,8110351562 3,00228215 0,555047095600459 19,4072411049112 8,87168882516795E-5
11401,8779296875 3,0011709 0,557610906872635 19,4968848556865 8,77048505664371E-5
11611,7309570312 3,0033906 0,562426719947356 19,6652699282292 8,61198045063621E-5
11681,681640625 3,0030382 0,564858887232451 19,7503107423934 8,56041134114058E-5
11921,689453125 3,0006833 0,569780919504957 19,9224097729006 8,38807288121293E-5
11996,6665039062 3,00225875 0,572002917465817 20,0001020092943 8,33564890442185E-5
12126,54296875 3,00226935 0,574325265240169 20,0813029804255 8,24637328690453E-5
12251,3950195313 3,00191795 0,578851368091377 20,2395583248733 8,16233578629854E-5
12366,2739257813 3,00229275 0,581112809007283 20,3186296855693 8,08651018084916E-5
12571,4365234375 3,0030807 0,583351361426517 20,3969007491789 7,95454042293142E-5
12636,2919921875 3,0028927 0,587637110147251 20,5467521030507 7,91371393299758E-5
12841,5224609375 3,0030687 0,589717010069078 20,6194758765412 7,78723864745703E-5
12981,7509765625 3,00377345 0,591765620124154 20,6911055987466 7,70312111059147E-5
13051,5322265625 3,00263775 0,59600159382662 20,8392165673643 7,66193564587611E-5
13176,623046875 3,00254585 0,598055271104274 20,9110234651844 7,58919790330621E-5
13301,7822265625 3,00244785 0,599908221878788 20,9758119538038 7,51778959366127E-5
13516,8461914062 3,0033262 0,603742189419978 21,1098667629363 7,39817547554684E-5
13586,8481445313 3,00270795 0,605774518113977 21,1809272067824 7,36005870796826E-5
13696,7333984375 3,0017453 0,607724610126227 21,2491122421758 7,30101091194546E-5
13886,974609375 3,0044622 0,609534626434698 21,3123995256887 7,20099249929432E-5
13951,6655273437 3,00355515 0,613219230824025 21,4412318469939 7,16760302230663E-5
14071,7724609375 3,0025518 0,615020082991358 21,5041987059915 7,10642531192106E-5
14181,9409179688 3,00296155 0,616818743247168 21,5670889247262 7,05122102668599E-5
14296,6997070312 3,00324645 0,618624136587656 21,630214566002 6,99462127968033E-5
14521,51953125 3,0039787 0,622023292906687 21,7490661855485 6,8863316807034E-5
14671,6196289062 3,0019741 0,623798032427473 21,8111200149466 6,81588008204485E-5
14741,4096679687 3,003371 0,627189437450721 21,9297006101651 6,78361176117966E-5
14861,5615234375 3,0038905 0,628752415518713 21,984350192962 6,72876802631369E-5
14971,759765625 3,00265835 0,630492455015898 22,0451907348216 6,67924155646679E-5
15091,7861328125 3,0016849 0,632218554320748 22,1055438573688 6,62612093227192E-5
15221,6240234375 3,0033487 0,63367933018926 22,1566199366874 6,56960123611153E-5
15336,47265625 3,0042411 0,63515058584393 22,2080624420954 6,52040415298804E-5
15521,4033203125 3,0022466 0,638316618649316 22,3187628898362 6,44271641785974E-5
15681,4443359375 3,00272725 0,639915744514179 22,3746763816147 6,37696361749204E-5
15741,5625 3,00357475 0,642795638200096 22,4753719650383 6,35260953288468E-5
15981,76171875 3,003304 0,644366969573942 22,5303136214665 6,25713245885019E-5
16051,9555664062 3,0027952 0,647206494152923 22,6295976976546 6,22977054641751E-5
16167,0654296875 3,0043374 0,648579620379742 22,6776091041868 6,18541444239908E-5
16291,9711914062 3,0051075 0,650001783670102 22,7273350933602 6,13799268517911E-5
16421,94140625 3,0038967 0,651474482478884 22,7788280587022 6,08941400569979E-5
16547,306640625 3,00345145 0,654238971925684 22,8754885288701 6,04327956034197E-5
16672,638671875 3,00329635 0,655606795667085 22,9233145338142 5,99785084820974E-5
16882,6669921875 3,00309555 0,656946624699414 22,9701617027767 5,92323476179891E-5
16937,6337890625 3,0019088 0,658300974576627 23,0175165935884 5,90401240488356E-5
17047,93359375 3,00281035 0,660882950939809 23,1077954874059 5,86581355740741E-5
17173,123046875 3,0036453 0,662139742499075 23,1517392482194 5,82305266939766E-5
17388,0927734375 3,0025458 0,66471948973132 23,2419402003958 5,75106202290125E-5
17463,291015625 3,00363525 0,665933108958229 23,2843744390989 5,72629751806384E-5
17583,283203125 3,00395985 0,667141899420081 23,326639839863 5,68722000577386E-5
17793,3291015625 3,0021484 0,669591145540032 23,412277816085 5,62008376449456E-5
17863,5390625 3,00369655 0,670694413889778 23,4508536325097 5,59799486821314E-5
18063,765625 3,0028677 0,671920513396963 23,4937242446491 5,53594428072081E-5
18138,859375 3,0042447 0,674136875121961 23,5712194098588 5,51302581560479E-5
18263,970703125 3,00478355 0,675416170584865 23,6159500204498 5,4752606443291E-5
18379,12890625 3,0033168 0,676535058755595 23,6550719844614 5,44095427536797E-5
18579,2939453125 3,0049696 0,678702954423522 23,730872532291 5,38233585702161E-5
18729,392578125 3,0041959 0,679835965711754 23,7704883115998 5,33920144942634E-5
18884,513671875 3,0027931 0,682120038637452 23,8503510013095 5,29534420306156E-5
19034,8447265625 3,0045378 0,683183801566091 23,8875455093039 5,25352328513893E-5
19184,9072265625 3,004084 0,684202082697608 23,9231497446716 5,21243073104596E-5
19249,9111328125 3,00455905 0,686299724608823 23,9964938674414 5,19482917661602E-5
19370,16796875 3,0048467 0,687329552478082 24,032501834898 5,16257784451485E-5
19495,5205078125 3,00403205 0,688330182350376 24,0674888933698 5,12938343759156E-5
19705,154296875 3,0050242 0,690319042162259 24,1370294462328 5,07481436041629E-5
19775,0810546875 3,00424085 0,691314543101267 24,171837171373 5,05686928531177E-5
19905,283203125 3,0042673 0,6923877272719 24,2093610934231 5,02379187372228E-5
20030,5205078125 3,0050887 0,693237685702222 24,2390799196581 4,99238149907273E-5
20150,6630859375 3,00473085 0,695223587809571 24,3085170562787 4,96261584909267E-5
20360,8896484375 3,0042903 0,696160721573063 24,3412839710861 4,91137674859281E-5
20430,9345703125 3,0037577 0,698111361886951 24,4094881778654 4,8945387033497E-5
20555,779296875 3,0044023 0,699008393363557 24,4408529148097 4,86481191278418E-5
20786,185546875 3,0047939 0,700770099757033 24,5024510404557 4,81088748940924E-5
20861,2900390625 3,00434175 0,701758861031017 24,5370231129726 4,79356740703721E-5
21071,078125 3,0056796 0,702553225115653 24,5647980809669 4,74584164164595E-5
21146,2294921875 3,00468125 0,704275775824171 24,6250271267193 4,72897544391756E-5
21271,4755859375 3,0040194 0,705292023013887 24,6605602452408 4,70113131531456E-5
